pos	5pG>A
1	0.128693864594827
2	0.093437331113156
3	0.071434755006637
4	0.0610063784549965
5	0.0512675817897098
6	0.0465842899960414
7	0.0447851807926356
8	0.0418052456531807
9	0.0414990293447374
10	0.0393690798376184
11	0.0402862406121581
12	0.0378650667874123
13	0.0389735592259162
14	0.039487711617461
15	0.0383215828974301
16	0.0383700852039517
17	0.038652638772227
18	0.0387279730244501
19	0.0376397480279212
20	0.0366690290574061
21	0.0392443718485903
22	0.0374816818847931
23	0.0385602654829606
24	0.0384351021896786
25	0.0359118758224499
