pos	5pC>T
1	0.130120883954437
2	0.0944514724485893
3	0.0714500193030871
4	0.0579786252607974
5	0.0512968950764582
6	0.0474508037498944
7	0.0442231638418079
8	0.0423461522141918
9	0.0408318646457526
10	0.039832432966134
11	0.0386860284787819
12	0.0387848358343676
13	0.0392032120338168
14	0.0374672055591009
15	0.0385296911103866
16	0.0371084337349398
17	0.0389316112220476
18	0.0378080948464135
19	0.0382756127642081
20	0.036767310389776
21	0.0381163387993565
22	0.0371225099460577
23	0.0370197476376393
24	0.0374690105927428
25	0.037443530228145
