"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.113460418491108,0.0342659222943652,0.389282003907903,0.389090010785715,0.443284981140258,20877.8656610211
"Std.",0.000282369022628305,0.000409471479333514,0.00563145127347006,0.00590256507115478,0.00146982101995124,1.58118881105267
"Acceptance ratio",0.18054,0.15672,0.18776,0.17646,0.2788,0.66402
"0%",0.112336690483074,0.032766892903592,0.369996482649768,0.369101378468233,0.437883882370472,20865.8883091199
"2.5%",0.112915672384833,0.0334466400009236,0.378568159383453,0.37769867607715,0.440449803805419,20873.9340026535
"5%",0.112998271467977,0.033587163471052,0.38025442544681,0.379520562215662,0.440867728170266,20874.7751165821
"7.5%",0.113053438891805,0.0336695214905625,0.381348953415841,0.380672509127793,0.441174224259334,20875.3387850167
"10%",0.113094721741999,0.0337415418536134,0.382164472720802,0.381567052001834,0.441388033738049,20875.7468302288
"12.5%",0.113134481433295,0.0337966767714509,0.382931290636498,0.382349893369761,0.441590009258699,20876.065003593
"15%",0.113166900521599,0.0338420719016102,0.383573778716143,0.383000730328746,0.441761644100543,20876.3412760398
"17.5%",0.113195968634687,0.0338861550458511,0.384116714658365,0.383601274659767,0.441924424322857,20876.5522519604
"20%",0.11322330041842,0.033923045087906,0.384571889859891,0.384126872277934,0.442053950422344,20876.74797131
"22.5%",0.113249388834776,0.0339618798515016,0.385004740309502,0.384616929321488,0.442162977766288,20876.9165033521
"25%",0.113268439720178,0.0339932889881238,0.385376412885188,0.385068604974455,0.442281360894407,20877.0769846987
"27.5%",0.113288638728044,0.0340255232930462,0.385815902559977,0.38550789903535,0.442395274835459,20877.2198368748
"30%",0.11330994875877,0.034056835089886,0.386250943172918,0.38587565812442,0.442495173310722,20877.3603929104
"32.5%",0.1133291083683,0.0340860696316638,0.386631217555637,0.386303614197792,0.442606868332194,20877.4906091879
"35%",0.113350112574741,0.0341165125931729,0.387035771898913,0.386691732605214,0.442712490347319,20877.598279083
"37.5%",0.113369426084462,0.0341408359601961,0.387334391913768,0.387090354655176,0.44280739137201,20877.7133187144
"40%",0.113390159658318,0.0341672707440842,0.387686107485733,0.387468302049956,0.442913824342093,20877.8138527109
"42.5%",0.113404843721695,0.0341930173893255,0.388020563445596,0.387888596322499,0.443011049215066,20877.9181156196
"45%",0.113419630808107,0.0342183245592386,0.388317019442226,0.388230235264754,0.443093659673691,20878.0128605741
"47.5%",0.113438695277073,0.0342392459976798,0.388689460784365,0.388595064988354,0.443185144533722,20878.1088534795
"50%",0.113457746313266,0.0342651476499791,0.389072980796982,0.388985244578367,0.443274531964329,20878.2036789034
"52.5%",0.113475605431517,0.0342928786381509,0.38943322629826,0.389369172285317,0.443369682242225,20878.292580872
"55%",0.113494528608895,0.0343211783651617,0.389800347030799,0.389753888351348,0.443461922070337,20878.3716347992
"57.5%",0.113512997046961,0.0343481150834526,0.390231818099063,0.390209936803452,0.443553755256509,20878.4537227643
"60%",0.113532242418705,0.0343724881644623,0.390580585570872,0.390567871827992,0.443640511337943,20878.5340718074
"62.5%",0.113552896111778,0.0343971623387358,0.390942209415663,0.390990998899866,0.443742230172867,20878.6161588649
"65%",0.113570983059575,0.0344247994386369,0.391335362219576,0.391406022843061,0.443853220107659,20878.6947741607
"67.5%",0.113589486495028,0.0344540787229838,0.391808060500386,0.391745249757524,0.443966213664151,20878.7798896217
"70%",0.11361167451502,0.0344869421533778,0.392206051406515,0.392165574090787,0.444065502110494,20878.8584904909
"72.5%",0.113632522511398,0.0345121610264555,0.392609361460903,0.392593113843674,0.444168696335032,20878.9366487021
"75%",0.113656562374223,0.0345411253670105,0.393043833344325,0.393012115239544,0.444289340831183,20879.0199874913
"77.5%",0.11367866199863,0.0345718740150577,0.393519194757083,0.393522768855469,0.444404112868648,20879.1004994522
"80%",0.113702637348959,0.0346086246541947,0.394049334606046,0.394098991653038,0.444525626558978,20879.1815919904
"82.5%",0.113726309356773,0.0346428968262877,0.394555691322638,0.394643442781456,0.444671963041384,20879.2608090955
"85%",0.113754599104938,0.0346882292504685,0.395177980295215,0.395303584190801,0.444831674869362,20879.3491503815
"87.5%",0.113783874089976,0.0347348547587412,0.395818809467227,0.395947471021322,0.445002739112943,20879.4443044597
"90%",0.113821815178592,0.0347841062419579,0.396598602623666,0.39666844525939,0.445174171433238,20879.5466598265
"92.5%",0.113869762677501,0.0348394847523142,0.397500194466703,0.39765906177272,0.445400903562885,20879.6511921749
"95%",0.113919466926398,0.0349274207318595,0.398770229368152,0.398926249941269,0.445709551226695,20879.7772866923
"97.5%",0.114008461862718,0.0350713364808366,0.400608193171462,0.400663939679652,0.446135389166892,20879.9305423486
"100%",0.114621619529314,0.036124271786128,0.41229961697606,0.411110225028789,0.450502664157345,20880.3152190562
