# table produced by mapDamage version 2.0.2-6-gdb9ad80
# using mapped file /mnt/expressions/benjamin_vernot/faunal_mismapping/data/once-again/4_mappings/0_ref/2_dog/dog-to-human_REF.bam and /mnt/solexa/Genomes/hg19_evan/whole_genome.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	32	22
+	33	239
+	34	1242
+	35	17078
+	36	15697
+	37	13985
+	38	12105
+	39	11013
+	40	9026
+	41	8431
+	42	12025
+	43	10658
+	44	9387
+	45	8211
+	46	7017
+	47	6139
+	48	5365
+	49	4972
+	50	4095
+	51	3440
+	52	3160
+	53	2869
+	54	2428
+	55	2081
+	56	1924
+	57	1662
+	58	1513
+	59	1318
+	60	1184
+	61	1050
+	62	926
+	63	826
+	64	1158
+	65	1043
+	66	946
+	67	831
+	68	718
+	69	638
+	70	615
+	71	514
+	72	479
+	73	423
+	74	372
+	75	359
+	76	322
+	77	289
+	78	253
+	79	205
+	80	185
+	81	197
+	82	149
+	83	154
+	84	134
+	85	128
+	86	96
+	87	106
+	88	84
+	89	96
+	90	96
+	91	87
+	92	59
+	93	75
+	94	45
+	95	51
+	96	54
+	97	37
+	98	48
+	99	32
+	100	35
+	101	24
+	102	37
+	103	21
+	104	21
+	105	21
+	106	21
+	107	17
+	108	28
+	109	13
+	110	12
+	111	11
+	112	14
+	113	8
+	114	7
+	115	12
+	116	8
+	117	5
+	118	8
+	119	8
+	120	2
+	121	6
+	122	4
+	123	4
+	124	1
+	125	5
+	126	2
+	127	1
+	129	3
+	130	2
+	131	3
+	132	1
+	135	1
+	139	2
+	142	1
-	32	17
-	33	246
-	34	1165
-	35	17318
-	36	15792
-	37	14052
-	38	11888
-	39	10710
-	40	9039
-	41	8017
-	42	12001
-	43	10824
-	44	9249
-	45	8001
-	46	6936
-	47	6077
-	48	5527
-	49	5020
-	50	4060
-	51	3635
-	52	3217
-	53	2802
-	54	2402
-	55	2079
-	56	1891
-	57	1687
-	58	1558
-	59	1408
-	60	1128
-	61	990
-	62	924
-	63	804
-	64	1170
-	65	1011
-	66	960
-	67	832
-	68	767
-	69	653
-	70	603
-	71	529
-	72	501
-	73	448
-	74	399
-	75	352
-	76	329
-	77	255
-	78	223
-	79	237
-	80	204
-	81	212
-	82	159
-	83	159
-	84	129
-	85	134
-	86	92
-	87	101
-	88	76
-	89	77
-	90	125
-	91	91
-	92	76
-	93	71
-	94	64
-	95	44
-	96	59
-	97	42
-	98	39
-	99	48
-	100	35
-	101	21
-	102	27
-	103	16
-	104	23
-	105	21
-	106	15
-	107	18
-	108	19
-	109	8
-	110	12
-	111	10
-	112	6
-	113	11
-	114	8
-	115	13
-	116	4
-	117	7
-	118	6
-	119	4
-	120	8
-	121	9
-	122	4
-	123	3
-	124	3
-	125	2
-	126	4
-	127	4
-	129	2
-	130	3
-	131	1
-	133	1
-	134	1
-	135	1
-	139	1
-	140	1
