pos	5pG>A
1	0.172898802372078
2	0.106144791680012
3	0.0663950809717097
4	0.0426632483417932
5	0.0284820449823227
6	0.0201614225145018
7	0.014931413290898
8	0.0119293274308883
9	0.00999443911070767
10	0.00869703926830175
11	0.00814682215131969
12	0.00756618824770289
13	0.00734919616790866
14	0.0070673591152003
15	0.00689105670047591
16	0.00676643803685243
17	0.00653756900481878
18	0.00653339199520004
19	0.00638980294965955
20	0.00624846701305848
21	0.0061544272928153
22	0.0060621831098207
23	0.00593784249256302
24	0.00579804968024419
25	0.00572413007546622
