pos	5pC>T
1	0.172956094758659
2	0.107022317174478
3	0.0675977791001323
4	0.0440893143040678
5	0.0294621334878245
6	0.0210615345879972
7	0.0157726140932462
8	0.012446420424172
9	0.0104743672726613
10	0.00908035437298359
11	0.00848464321182045
12	0.00787450478695753
13	0.00719461776238237
14	0.00701139522757959
15	0.00672954826034175
16	0.00649862632653761
17	0.00635557867426387
18	0.00608190845214891
19	0.00592529751246118
20	0.00579521236155515
21	0.00568808963619407
22	0.00542520164693621
23	0.00537744187128318
24	0.00526738020232062
25	0.00505253738123771
