"","Position","C.T","G.A"
"1",1,0.99690349065823,0.329890122294621
"2",2,0.994973614098052,0.680529969213868
"3",3,0.992003618546974,0.74117090744353
"4",4,0.987630511077355,0.769129692523255
"5",5,0.98159092283141,0.787155564847224
"6",6,0.973931006340209,0.800792702235592
"7",7,0.965145482262095,0.812644046926412
"8",8,0.956044786098739,0.824128783550468
"9",9,0.947499959370501,0.834579515282103
"10",10,0.940129052622644,0.843526039241162
"11",11,0.934097362936424,0.851277265378793
"12",12,0.929130132375045,0.858605622455149
"13",-12,0.86408847456445,0.927634803078444
"14",-11,0.86003641549457,0.932183440292113
"15",-10,0.856709670061581,0.93790970985531
"16",-9,0.853649995935861,0.945201110591486
"17",-8,0.850946409255193,0.953943662911064
"18",-7,0.849169468697467,0.963473932127313
"19",-6,0.848056457669339,0.972803019133163
"20",-5,0.846765778641685,0.980933867885534
"21",-4,0.843144963516394,0.987298548606021
"22",-3,0.833644592700553,0.991856578969176
"23",-2,0.804701272512655,0.994918188120537
"24",-1,0.621672296509767,0.996889545121268
