"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00262706194148831,0.00974247918954627,0.55686508717673,0.402066958250541,1.06290940855137,11445.3407305138
"Std.",8.19923524534079e-06,3.03668358342792e-05,0.000844442977560526,0.000451793475884622,0.00381105927937984,1.58354235865242
"Acceptance ratio",0.13494,0.20656,0.12198,0.11992,0.27616,0.6146
"0%",0.00259488443877108,0.00962957772583641,0.553879406103043,0.4005102484479,1.04704693023207,11433.3059161021
"2.5%",0.00261057129326457,0.00968335522333567,0.555235152443922,0.401186416869905,1.05570402796428,11441.4470473457
"5%",0.00261315556381121,0.00969246779385407,0.555460392068679,0.401323930915091,1.05676516943721,11442.2884213344
"7.5%",0.00261534873522424,0.00969941669678449,0.555671656451251,0.401431053341324,1.057495021507,11442.8061801029
"10%",0.00261649472612975,0.00970403552570763,0.555793739690966,0.401492106995635,1.05805479242068,11443.1968763492
"12.5%",0.00261775436436131,0.00970770272341616,0.555898511523685,0.401560551887749,1.05855170610957,11443.5023032607
"15%",0.00261863817303078,0.00971102650020764,0.55599553794777,0.40160670210609,1.05897973069869,11443.7587195634
"17.5%",0.00261940077780405,0.00971387269793975,0.556076983664956,0.401649685377353,1.05938270418539,11443.9698867976
"20%",0.00262017277282042,0.00971699619981438,0.556154699877135,0.401689604523006,1.05971899384054,11444.1648102477
"22.5%",0.00262088676020608,0.0097197427129622,0.556214312324829,0.401726823579425,1.06001816059138,11444.3494033401
"25%",0.0026215972163043,0.00972184659056412,0.556284811332791,0.401760055864252,1.06030005862943,11444.5227150852
"27.5%",0.00262231161557721,0.00972410180156198,0.556346552032579,0.401796332295355,1.06056249737959,11444.6690972619
"30%",0.00262284686354326,0.00972637733114358,0.556411556031206,0.401826713396148,1.06083417205782,11444.8099454701
"32.5%",0.00262349334275963,0.00972846461543248,0.556463118131432,0.401855209094857,1.06111995862267,11444.9393974304
"35%",0.00262404098994842,0.00973061845612353,0.556513485028071,0.401887107969656,1.06137685962375,11445.0566917093
"37.5%",0.00262447872059511,0.00973264068534741,0.556564035049695,0.401921667019072,1.06162825364899,11445.1685887274
"40%",0.00262501435332846,0.00973501945728944,0.556624105363895,0.401950613507903,1.06187969738771,11445.2803646121
"42.5%",0.00262566430785916,0.00973683979413883,0.556677472926322,0.401979713033056,1.06213783271152,11445.3812630946
"45%",0.00262613071567873,0.00973875617699861,0.556743010811471,0.402010309843718,1.06237915803354,11445.4753713249
"47.5%",0.0026266945232802,0.00974059995596022,0.556799185605484,0.402039898972682,1.0625912803552,11445.5766370088
"50%",0.00262714308740097,0.00974265319837712,0.556866469928235,0.402067568407177,1.06284272486691,11445.6679752062
"52.5%",0.00262777292623278,0.00974416909331209,0.556919511170637,0.402097105838481,1.06308364216883,11445.7684126501
"55%",0.00262828634680087,0.0097459979044354,0.556980796206355,0.402125176782454,1.06333741171126,11445.8603346644
"57.5%",0.0026288228214273,0.00974793689749648,0.557031231133821,0.40214926061435,1.0635885105378,11445.9452623261
"60%",0.00262934940189184,0.00974993251868087,0.557078327651244,0.402182272361443,1.06383149466536,11446.0255739964
"62.5%",0.00262984526330461,0.009751686793705,0.557130585942228,0.402208155320973,1.06408215230317,11446.1099585784
"65%",0.00263041414952658,0.00975395602592927,0.557191354864905,0.402234871486009,1.06434480601015,11446.1879033807
"67.5%",0.00263094050278073,0.0097559991014414,0.557242226101655,0.402264948498909,1.06461543972767,11446.2737083795
"70%",0.00263157755483499,0.00975859107168418,0.557304819437062,0.402294692990003,1.0649200164305,11446.3544565509
"72.5%",0.00263223530134424,0.00976079018131655,0.557376360322104,0.402327093452932,1.0651653612087,11446.4408305295
"75%",0.00263286116168407,0.009763024680613,0.557443759440903,0.402361624676674,1.06544568916768,11446.5213729308
"77.5%",0.00263341594604463,0.00976534643988383,0.557519064183898,0.402396858273458,1.06574609842478,11446.6002111416
"80%",0.00263402805979991,0.00976809639282997,0.55757987501916,0.40243845499463,1.06607060991955,11446.6795664916
"82.5%",0.00263468610611523,0.00977076690563393,0.55765605567734,0.402481514295221,1.06643268532606,11446.7620056566
"85%",0.00263522509557143,0.00977351890873922,0.557736220883904,0.402533285068987,1.06682254136425,11446.847964024
"87.5%",0.00263603957916856,0.0097773614340749,0.557853543302488,0.402586842189545,1.06731278606648,11446.9401802958
"90%",0.00263710172236267,0.00978150588024659,0.557970020223626,0.402648298381871,1.06783966684562,11447.0334059472
"92.5%",0.00263857431718299,0.00978658178615833,0.55809208559851,0.40272223386171,1.06841002706145,11447.1324778395
"95%",0.00264022728201164,0.00979287827033958,0.558246886931153,0.402812519894806,1.06925436969017,11447.2441476859
"97.5%",0.00264319488891163,0.00980224642659642,0.558542890227562,0.402983969005933,1.07049700715261,11447.3994164086
"100%",0.00265570498782585,0.00985134272573676,0.560175095199911,0.403851825150515,1.08030002404169,11447.8308555491
