# table produced by mapDamage version 2.0.2-6-gdb9ad80
# using mapped file /mnt/expressions/benjamin_vernot/faunal_mismapping/data/once-again/4_mappings/0_ref/0_human/human-to-human_REF.bam and /mnt/solexa/Genomes/hg19_evan/whole_genome.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	33	1
+	34	1
+	35	230149
+	36	226876
+	37	226843
+	38	217134
+	39	216792
+	40	198460
+	41	192057
+	42	201129
+	43	194102
+	44	182022
+	45	172580
+	46	165586
+	47	156126
+	48	149746
+	49	147631
+	50	132548
+	51	120757
+	52	119175
+	53	110681
+	54	101195
+	55	94570
+	56	91513
+	57	83511
+	58	81024
+	59	74956
+	60	67562
+	61	63667
+	62	59672
+	63	53698
+	64	60451
+	65	54976
+	66	51560
+	67	50159
+	68	47128
+	69	42655
+	70	39185
+	71	36183
+	72	35065
+	73	31954
+	74	29308
+	75	27030
+	76	26778
+	77	24837
+	78	21562
+	79	20246
+	80	18746
+	81	19211
+	82	15033
+	83	15020
+	84	13877
+	85	14906
+	86	11191
+	87	11491
+	88	10435
+	89	10123
+	90	10935
+	91	8691
+	92	8439
+	93	7349
+	94	6698
+	95	6648
+	96	6495
+	97	5017
+	98	4992
+	99	5121
+	100	4133
+	101	4079
+	102	3726
+	103	3659
+	104	3161
+	105	3173
+	106	2509
+	107	2943
+	108	2591
+	109	2288
+	110	1883
+	111	1533
+	112	1905
+	113	1459
+	114	1375
+	115	1659
+	116	1242
+	117	708
+	118	1250
+	119	1060
+	120	651
+	121	1075
+	122	682
+	123	755
+	124	810
+	125	700
+	126	467
+	127	429
+	128	408
+	129	478
+	130	349
+	131	320
+	132	432
+	133	312
+	134	153
+	135	221
+	136	193
+	137	192
+	138	138
+	139	180
+	140	178
+	141	67
-	34	2
-	35	230804
-	36	226091
-	37	227214
-	38	217740
-	39	216463
-	40	198524
-	41	192457
-	42	201187
-	43	194847
-	44	182316
-	45	173161
-	46	165553
-	47	156257
-	48	150113
-	49	147386
-	50	131831
-	51	121116
-	52	119287
-	53	111489
-	54	100777
-	55	94875
-	56	91340
-	57	83858
-	58	81537
-	59	75294
-	60	67248
-	61	63242
-	62	59078
-	63	53424
-	64	60589
-	65	55451
-	66	51457
-	67	49654
-	68	46976
-	69	42181
-	70	39036
-	71	36340
-	72	35077
-	73	32118
-	74	29670
-	75	27374
-	76	26426
-	77	24382
-	78	21937
-	79	20184
-	80	18952
-	81	19154
-	82	15256
-	83	14844
-	84	14111
-	85	14873
-	86	11160
-	87	11778
-	88	10468
-	89	10166
-	90	11061
-	91	8948
-	92	8513
-	93	7079
-	94	6697
-	95	6475
-	96	6405
-	97	5216
-	98	4992
-	99	5130
-	100	4030
-	101	4077
-	102	3864
-	103	3578
-	104	3181
-	105	3047
-	106	2576
-	107	2820
-	108	2585
-	109	2248
-	110	1920
-	111	1578
-	112	1946
-	113	1451
-	114	1394
-	115	1665
-	116	1179
-	117	748
-	118	1287
-	119	1095
-	120	646
-	121	1044
-	122	672
-	123	830
-	124	775
-	125	720
-	126	478
-	127	382
-	128	363
-	129	484
-	130	364
-	131	288
-	132	388
-	133	332
-	134	128
-	135	218
-	136	221
-	137	198
-	138	118
-	139	212
-	140	193
-	141	69
